时间戳,相对时间(秒),StereoMap 4.exe (PID:26120),StereoMap 4.exe (PID:14284),StereoVisual.exe (PID:27372),StereoMap 4.exe (PID:28304),StereoMap 4.exe (PID:26328),StereoMap 4.exe (PID:25468)
1749608043.0121064,31.801581144332886,9.7734375,47.58984375,50.09375,50.9921875,788.69921875,555.33984375
1749608043.5328457,32.32232046127319,9.7734375,47.58984375,50.09375,50.9921875,788.69921875,555.33984375
1749608044.0528715,32.84234619140625,9.7734375,47.58984375,50.09375,50.9921875,788.69921875,555.33984375
1749608044.5773916,33.36686635017395,9.7734375,47.58984375,50.09375,50.9921875,788.69921875,555.33984375
1749608045.0869093,33.876384019851685,9.7734375,47.58984375,50.09375,50.9921875,788.69921875,555.33984375
1749608045.6078186,34.39729332923889,9.7734375,47.58984375,50.09375,50.9921875,788.69921875,555.33984375
1749608046.1252108,34.91468548774719,9.7734375,47.58984375,50.09375,50.9921875,788.69921875,555.33984375
1749608046.6342428,35.4237174987793,9.7734375,47.58984375,50.09375,50.9921875,788.69921875,555.33984375
1749608047.1468027,35.93627738952637,9.7734375,47.58984375,50.09375,50.9921875,788.703125,555.33984375
1749608047.6607523,36.45022702217102,9.7734375,47.58984375,50.09375,50.9921875,788.70703125,555.33984375
1749608048.1712983,36.96077299118042,9.7734375,47.58984375,50.09375,50.9921875,788.70703125,555.33984375
1749608048.6858575,37.475332260131836,9.7734375,47.58984375,50.09375,50.9921875,788.70703125,555.33984375
1749608049.2009878,37.9904625415802,9.7734375,47.58984375,50.09375,50.9921875,788.71484375,555.33984375
1749608049.7200954,38.50957012176514,9.7734375,47.58984375,50.09375,50.9921875,788.71484375,555.33984375
1749608050.237107,39.02658176422119,9.7734375,47.58984375,50.09375,50.9921875,788.71875,555.33984375
1749608050.7475612,39.53703594207764,9.7734375,47.58984375,50.09375,50.9921875,788.7265625,555.33984375
1749608051.2663462,40.05582094192505,9.7734375,47.58984375,50.09375,50.9921875,788.73046875,555.33984375
1749608051.7842214,40.57369613647461,9.7734375,47.58984375,50.09375,50.9921875,788.73828125,555.33984375
1749608052.3087566,41.09823131561279,9.7734375,47.58984375,50.09375,50.9921875,788.73828125,555.33984375
1749608052.824067,41.61354184150696,9.7734375,47.58984375,50.09375,50.9921875,789.890625,555.33984375
1749608053.339664,42.129138708114624,9.7734375,47.58984375,50.09375,50.9921875,787.85546875,555.33984375
1749608053.857717,42.647191762924194,9.7734375,47.58984375,50.09375,50.9921875,787.85546875,555.33984375
1749608054.3806772,43.17015194892883,9.7734375,47.58984375,50.09375,50.9921875,787.2265625,555.33984375
1749608054.90075,43.69022464752197,9.7734375,47.58984375,50.09375,50.9921875,787.23046875,555.33984375
1749608055.4165235,44.20599818229675,9.7734375,47.58984375,50.09375,50.9921875,787.23046875,555.33984375
1749608055.9263554,44.71583008766174,9.7734375,47.58984375,50.09375,50.9921875,787.234375,555.33984375
1749608056.4457743,45.235249042510986,9.7734375,47.58984375,50.09375,50.9921875,787.234375,555.33984375
1749608056.9640656,45.75354027748108,9.7734375,47.58984375,50.09375,50.9921875,787.24609375,555.33984375
1749608057.4825773,46.27205204963684,9.7734375,47.58984375,50.09375,50.9921875,787.24609375,555.33984375
1749608057.9998465,46.789321184158325,9.7734375,47.58984375,50.09375,50.9921875,787.24609375,555.33984375
1749608058.5177417,47.30721640586853,9.7734375,47.58984375,50.09375,50.9921875,786.60546875,555.33984375
1749608059.033236,47.82271075248718,9.7734375,47.58984375,50.09375,50.9921875,786.60546875,555.33984375
1749608059.5497344,48.33920907974243,9.7734375,47.58984375,50.09375,50.9921875,786.60546875,555.33984375
1749608060.0681262,48.857600927352905,9.7734375,47.58984375,50.09375,50.9921875,786.61328125,555.33984375
1749608060.5906336,49.38010835647583,9.7734375,47.58984375,50.09375,50.9921875,786.625,555.33984375
1749608061.1070282,49.89650297164917,9.7734375,47.58984375,50.09375,50.9921875,786.63671875,555.33984375
1749608061.6230762,50.412550926208496,9.7734375,47.58984375,50.09375,50.9921875,786.6484375,555.33984375
1749608062.142161,50.93163561820984,9.7734375,47.58984375,50.09375,50.9921875,786.65625,555.33984375
1749608062.6625,51.451974630355835,9.7734375,47.58984375,50.09375,50.9921875,786.671875,555.33984375
1749608063.1764238,51.965898513793945,9.7734375,47.58984375,50.09375,50.9921875,786.68359375,555.33984375
1749608063.6921134,52.48158812522888,9.7734375,47.58984375,50.09375,50.9921875,786.69140625,555.33984375
1749608064.2089171,52.99839186668396,9.7734375,47.58984375,50.09375,50.9921875,786.69921875,555.33984375
1749608064.7277465,53.517221212387085,9.7734375,47.58984375,50.09375,50.9921875,786.70703125,555.33984375
1749608065.2454646,54.03493928909302,9.7734375,47.58984375,50.09375,50.9921875,786.71875,555.33984375
1749608065.7567282,54.54620289802551,9.7734375,47.58984375,50.09375,50.9921875,786.73828125,555.33984375
1749608066.2740102,55.06348490715027,9.7734375,47.58984375,50.09375,50.9921875,786.7578125,555.33984375
1749608066.7929173,55.58239197731018,9.7734375,47.58984375,50.09375,50.9921875,786.75390625,555.33984375
1749608067.3113804,56.100855112075806,9.7734375,47.58984375,50.09375,50.9921875,786.76171875,555.33984375
1749608067.8240807,56.61355543136597,9.7734375,47.58984375,50.09375,50.9921875,786.7734375,555.33984375
1749608068.342656,57.13213062286377,9.7734375,47.58984375,50.09375,50.9921875,786.78125,555.33984375
1749608068.8663514,57.65582609176636,9.7734375,47.58984375,50.09375,50.9921875,786.79296875,555.33984375
1749608069.3769925,58.16646718978882,9.7734375,47.58984375,50.09375,50.9921875,786.8046875,555.33984375
1749608069.8981686,58.68764328956604,9.7734375,47.58984375,50.09375,50.9921875,786.81640625,555.33984375
1749608070.4116108,59.201085567474365,9.7734375,47.58984375,50.09375,50.9921875,786.828125,555.33984375
